old_face_in_surp,new_face_in_surp,which_side_old_face_displayed
img/neutralC/CFD-AM-213-056-N.jpg,img/neutralC/CFD-MM-304-002-N.jpg,right
img/neutralC/CFD-BM-248-128-N.jpg,img/neutralC/CFD-IF-705-196-N.jpg,left
img/neutralC/CFD-IM-740-273-N.jpg,img/neutralC/CFD-IM-692-011-N.jpg,right
img/neutralC/CFD-IF-723-255-N.jpg,img/neutralC/CFD-BM-041-035-N.jpg,right
img/neutralC/CFD-WF-235-121-N.jpg,img/neutralC/CFD-WM-249-239-N.jpg,left
img/neutralC/CFD-AF-208-003-N.jpg,img/neutralC/CFD-WM-033-025-N.jpg,right
img/neutralC/CFD-BM-208-065-N.jpg,img/neutralC/CFD-WF-034-006-N.jpg,right
img/neutralC/CFD-AM-236-090-N.jpg,img/neutralC/CFD-WM-208-068-N.jpg,right
img/neutralC/CFD-MF-330-001-N.jpg,img/neutralC/CFD-AM-235-241-N.jpg,right
img/neutralC/CFD-BF-014-002-N.jpg,img/neutralC/CFD-LF-240-199-N.jpg,right
img/neutralC/CFD-BM-250-170-N.jpg,img/neutralC/CFD-MF-345-025-N.jpg,right
img/neutralC/CFD-BM-034-031-N.jpg,img/neutralC/CFD-AF-214-139-N.jpg,right
img/neutralC/CFD-IM-611-306-N.jpg,img/neutralC/CFD-WF-016-015-N.jpg,right
img/neutralC/CFD-BF-232-187-N.jpg,img/neutralC/CFD-WM-022-001-N.jpg,right
img/neutralC/CFD-BM-223-171-N.jpg,img/neutralC/CFD-BM-012-018-N.jpg,left
img/neutralC/CFD-LF-235-219-N.jpg,img/neutralC/CFD-LM-236-163-N.jpg,left
img/neutralC/CFD-IM-680-369-N.jpg,img/neutralC/CFD-WM-241-072-N.jpg,right
img/neutralC/CFD-IF-622-096-N.jpg,img/neutralC/CFD-BM-002-013-N.jpg,right
img/neutralC/CFD-LF-237-190-N.jpg,img/neutralC/CFD-WF-006-002-N.jpg,right
img/neutralC/CFD-BF-216-132-N.jpg,img/neutralC/CFD-IM-657-308-N.jpg,left
img/neutralC/CFD-WM-032-001-N.jpg,img/neutralC/CFD-MM-319-052-N.jpg,right
img/neutralC/CFD-BF-045-003-N.jpg,img/neutralC/CFD-LF-241-188-N.jpg,right
img/neutralC/CFD-WM-247-084-N.jpg,img/neutralC/CFD-WM-204-031-N.jpg,left
img/neutralC/CFD-BF-227-137-N.jpg,img/neutralC/CFD-LM-238-129-N.jpg,left
img/neutralC/CFD-LM-253-075-N.jpg,img/neutralC/CFD-IM-694-297-N.jpg,left
img/neutralC/CFD-WF-230-158-N.jpg,img/neutralC/CFD-WF-241-210-N.jpg,left
img/neutralC/CFD-BF-008-001-N.jpg,img/neutralC/CFD-IM-719-221-N.jpg,left
img/neutralC/CFD-BF-041-001-N.jpg,img/neutralC/CFD-WM-016-001-N.jpg,right
img/neutralC/CFD-MM-314-062-N.jpg,img/neutralC/CFD-WF-212-050-N.jpg,right
img/neutralC/CFD-MM-310-001-N.jpg,img/neutralC/CFD-MM-301-011-N.jpg,left
img/neutralC/CFD-IM-667-369-N.jpg,img/neutralC/CFD-MF-337-026-N.jpg,left
img/neutralC/CFD-IM-684-008-N.jpg,img/neutralC/CFD-AM-242-176-N.jpg,left
img/neutralC/CFD-MM-316-156-N.jpg,img/neutralC/CFD-BM-217-082-N.jpg,left
img/neutralC/CFD-BF-050-003-N.jpg,img/neutralC/CFD-AF-215-70-N.jpg,left
img/neutralC/CFD-LM-227-103-N.jpg,img/neutralC/CFD-WM-223-056-N.jpg,left
img/neutralC/CFD-LF-249-132-N.jpg,img/neutralC/CFD-IM-715-013-N.jpg,left
img/neutralC/CFD-AF-238-185-N.jpg,img/neutralC/CFD-MF-302-027-N.jpg,right
img/neutralC/CFD-BM-037-033-N.jpg,img/neutralC/CFD-AF-253-130-N.jpg,right
img/neutralC/CFD-LM-250-077-N.jpg,img/neutralC/CFD-WM-039-018-N.jpg,left
img/neutralC/CFD-IM-706-002-N.jpg,img/neutralC/CFD-WF-238-023-N.jpg,right
img/neutralC/CFD-MF-333-012-N.jpg,img/neutralC/CFD-AF-218-157-N.jpg,right
img/neutralC/CFD-IM-687-511-N.jpg,img/neutralC/CFD-BM-003-003-N.jpg,left
img/neutralC/CFD-BF-023-010-N.jpg,img/neutralC/CFD-BM-020-001-N.jpg,left
img/neutralC/CFD-AF-200-228-N.jpg,img/neutralC/CFD-LF-233-277-N.jpg,right
img/neutralC/CFD-LM-232-204-N.jpg,img/neutralC/CFD-BF-223-250-N.jpg,left
img/neutralC/CFD-LM-220-329-N.jpg,img/neutralC/CFD-BF-032-038-N.jpg,right
img/neutralC/CFD-BF-234-167-N.jpg,img/neutralC/CFD-IF-713-170-N.jpg,left
img/neutralC/CFD-LF-254-125-N.jpg,img/neutralC/CFD-AM-250-149-N.jpg,right
