old_face_in_surp,new_face_in_surp,which_side_old_face_displayed
img/neutralC/CFD-IF-642-295-N.jpg,img/neutralC/CFD-LF-207-198-N.jpg,left
img/neutralC/CFD-BF-217-189-N.jpg,img/neutralC/CFD-WM-036-031-N.jpg,left
img/neutralC/CFD-IM-635-010-N.jpg,img/neutralC/CFD-IM-655-234-N.jpg,right
img/neutralC/CFD-IM-684-008-N.jpg,img/neutralC/CFD-MF-346-008-N.jpg,left
img/neutralC/CFD-BF-237-172-N.jpg,img/neutralC/CFD-BF-209-172-N.jpg,left
img/neutralC/CFD-WM-221-091-N.jpg,img/neutralC/CFD-WM-240-125-N.jpg,left
img/neutralC/CFD-BM-029-024-N.jpg,img/neutralC/CFD-BM-252-161-N.jpg,left
img/neutralC/CFD-WF-221-005-N.jpg,img/neutralC/CFD-WM-238-020-N.jpg,left
img/neutralC/CFD-BF-202-109-N.jpg,img/neutralC/CFD-IM-630-134-N.jpg,left
img/neutralC/CFD-IF-625-225-N.jpg,img/neutralC/CFD-WM-256-138-N.jpg,right
img/neutralC/CFD-IM-743-006-N.jpg,img/neutralC/CFD-WM-236-072-N.jpg,left
img/neutralC/CFD-BF-207-004-N.jpg,img/neutralC/CFD-LM-229-187-N.jpg,right
img/neutralC/CFD-LF-211-003-N.jpg,img/neutralC/CFD-LM-239-075-N.jpg,left
img/neutralC/CFD-AF-205-155-N.jpg,img/neutralC/CFD-BM-249-235-N.jpg,right
img/neutralC/CFD-WM-225-127-N.jpg,img/neutralC/CFD-BF-009-002-N.jpg,right
img/neutralC/CFD-BM-027-001-N.jpg,img/neutralC/CFD-IM-654-417-N.jpg,right
img/neutralC/CFD-MF-340-026-N.jpg,img/neutralC/CFD-IM-725-142-N.jpg,right
img/neutralC/CFD-BF-014-002-N.jpg,img/neutralC/CFD-LF-246-129-N.jpg,right
img/neutralC/CFD-BF-236-177-N.jpg,img/neutralC/CFD-LM-210-156-N.jpg,right
img/neutralC/CFD-AM-236-090-N.jpg,img/neutralC/CFD-BM-236-248-N.jpg,right
img/neutralC/CFD-WM-249-239-N.jpg,img/neutralC/CFD-LM-236-163-N.jpg,right
img/neutralC/CFD-BM-010-003-N.jpg,img/neutralC/CFD-IF-631-363-N.jpg,right
img/neutralC/CFD-LF-239-148-N.jpg,img/neutralC/CFD-LM-235-231-N.jpg,right
img/neutralC/CFD-BF-201-080-N.jpg,img/neutralC/CFD-IM-688-322-N.jpg,left
img/neutralC/CFD-BF-041-001-N.jpg,img/neutralC/CFD-WM-035-032-N.jpg,right
img/neutralC/CFD-WF-228-196-N.jpg,img/neutralC/CFD-MM-300-035-N.jpg,left
img/neutralC/CFD-WF-027-003-N.jpg,img/neutralC/CFD-WM-223-056-N.jpg,left
img/neutralC/CFD-AF-254-167-N.jpg,img/neutralC/CFD-AM-241-287-N.jpg,left
img/neutralC/CFD-MF-328-020-N.jpg,img/neutralC/CFD-IM-658-284-N.jpg,right
img/neutralC/CFD-AM-220-134-N.jpg,img/neutralC/CFD-LF-200-058-N.jpg,right
img/neutralC/CFD-IM-638-250-1-N.jpg,img/neutralC/CFD-WM-217-070-N.jpg,left
img/neutralC/CFD-WF-029-002-N.jpg,img/neutralC/CFD-MF-347-001-N.jpg,left
img/neutralC/CFD-LM-252-076-N.jpg,img/neutralC/CFD-WM-233-106-N.jpg,right
img/neutralC/CFD-LF-242-121-N.jpg,img/neutralC/CFD-WF-218-087-N.jpg,right
img/neutralC/CFD-LM-244-068-N.jpg,img/neutralC/CFD-BF-035-001-N.jpg,right
img/neutralC/CFD-WF-005-010-N.jpg,img/neutralC/CFD-AM-234-355-N.jpg,left
img/neutralC/CFD-WF-207-014-N.jpg,img/neutralC/CFD-IM-679-069-N.jpg,left
img/neutralC/CFD-WF-243-148-N.jpg,img/neutralC/CFD-AM-246-184-N.jpg,right
img/neutralC/CFD-AF-233-190-N.jpg,img/neutralC/CFD-IF-612-149-N.jpg,right
img/neutralC/CFD-AM-221-184-N.jpg,img/neutralC/CFD-MF-314-001-N.jpg,left
img/neutralC/CFD-MF-336-016-N.jpg,img/neutralC/CFD-IM-690-282-N.jpg,left
img/neutralC/CFD-IM-606-008-N.jpg,img/neutralC/CFD-WM-251-002-N.jpg,right
img/neutralC/CFD-LF-203-066-N.jpg,img/neutralC/CFD-AM-252-114-N.jpg,left
img/neutralC/CFD-AF-240-206-N.jpg,img/neutralC/CFD-WF-013-003-N.jpg,left
img/neutralC/CFD-WF-224-099-N.jpg,img/neutralC/CFD-BF-048-002-N.jpg,left
img/neutralC/CFD-WM-021-001-N.jpg,img/neutralC/CFD-BF-239-180-N.jpg,left
img/neutralC/CFD-WF-002-004-N.jpg,img/neutralC/CFD-MM-314-062-N.jpg,left
img/neutralC/CFD-WF-245-084-N.jpg,img/neutralC/CFD-WM-031-003-N.jpg,right
